projectID,name,publishedTime,field,views,appreciations,comments,owner,city,country
69278431,Bugatti Type 100,20180821,Industrial Design,2112,232,9,Hu_Hao,Pasadena,United States
57792877,INDOT | Suite,20171016,Photography,8247,565,7,heycheese,Taipei,Taiwan
62580181,072/2018 backpack,20180227,Fashion,3038,237,8,NotlessOrequal,Mezmay,Russian Federation
68084857,Million stitches,20180719,Fashion Styling,612,57,6,markofka,Kiev,Ukraine
69150485,From Fair Wear to Love Affair | Social Experiments,20180822,Graphic Design,1751,181,14,thelabsaigon,Ho Chi Minh City,Vietnam
66865687,Balance,20180617,Sculpting,700,111,5,aurrutiald8fd,Copenhagen,Denmark
69161873,WAY,20180817,Industrial Design,1621,193,10,ylkul,Warszawa,Poland
69288981,SEAT - Future Today Campaign,20180824,Advertising,1484,219,8,JavierPalao,Barcelona,Spain
63779383,Illo + motion,20180329,Illustration,4077,463,11,camidobrin,Lisbon,Portugal
66666301,Visual Identity – PK Immobilien,20180616,Graphic Design,2842,323,14,maderstefan,Munich,Germany
65291013,Web design | PeopleSpheres HR Core - 2018,20180507,Web Design,2140,246,38,877193178e24a,Paris,France
68997613,BMW 6 Gran Turismo,20180813,Photography,2723,415,9,SimonGeis,Berlin,Germany
69625321,Google Account Illustrations,20180830,Art Direction,2011,369,20,kopytkov,Zurich,Switzerland
66729601,VOLTA Cirque du soleil,20180613,Motion Graphics,511,27,0,josselinbey,Montreal,Canada
69469029,Super City: Alisa animation,20180826,Animation,674,124,4,MarinaLuzhkova,Minsk,Belarus
69623539,Marx and Engels,20180830,Graphic Design,1432,126,4,FedericaFragapane,Milan,Italy
62259095,"Cover Art — Octavio ""NOWHERE""",20180220,Art Direction,1685,188,3,quatriemeetage,Toulouse,France
67028619,MINI 2018 Red Packet,20180622,Art Direction,1407,195,9,stvkoswara,Singapore,Singapore
68967971,"JORDAN Mural, Shenyang",20180813,Illustration,639,85,1,Royalclub,Shanghai,China
68651851,hey banda!,20180803,Industrial Design,4335,664,18,balbek,Kiev,Ukraine
68255903,Bradas,20180904,Art Direction,3648,374,23,otwarte,Cracow,Poland
68704355,The dark night & black bird & Kong,20180805,Illustration,906,65,2,ahnsimfactory,Suwon,"Korea, Republic of"
53857105,LOGO COLLECTION,20170616,Graphic Design,2493,277,12,1820936041fda4,Changsha,China
68718263,Blanc Naturals,20180808,Branding,1507,212,16,FoxtrotDesignStudio,Warsaw,Poland
69206085,Adidas - P.O.D. System,20180822,Animation,5722,551,15,velvetspectrum,Portland,United States
69505015,Dropbox — World Day of Creativity,20180827,Art Direction,2141,336,14,gabriellematte,San Francisco,United States
69271041,Horizon (2018),20180824,Graphic Design,1400,157,9,soomcoaa,Los Angeles,United States
69226017,Atelier voilà!,20180820,Illustration,1395,155,8,lauranormand,Amsterdam,Netherlands
67451027,Hyde & Wilde Craft Beer,20180703,Packaging,1984,371,18,iainmac,London,United Kingdom
58925173,Chevrolet Corvette ZR1 | Global Launch,20171130,Advertising,8605,681,35,alexmbernsteinb62a,Los Angeles,United States
61730535,ALVORADA villa. Dubai UAE,20180212,Architecture,20577,1847,61,m_mondich,Lviv,Ukraine
67397581,Mograh Animation Adevertisement | Unlimited You,20180701,Advertising,690,103,6,356702404145e,Beijing,China
69593353,Schön! - Superstitious,20180829,Art Direction,1455,197,9,benjoarwas,Los Angeles,United States
26946755,A Few Logos 2018,20180327,Branding,14036,1092,58,Rasoulipour,Kansas City,United States
61251299,ASTEROS,20180124,Web Design,11678,1118,34,George-R,Moscow,Russian Federation
62848189,N e u l e n g b a c h,20180306,Photography,901,80,5,alejandroga528,Caracas,Venezuela
67045855,Indian Gaadi,20180730,Illustration,2098,476,59,seenu,Bangalore,India
69212745,WALL ELEMENTS,20180819,Fine Arts,849,80,2,artem_stefanov,Moscow,Russian Federation
67580583,SKIN-DEEP,20180706,Illustration,615,42,5,naimasheikh,Singapore,Singapore
67484239,Mc Dellacroix - Surra de BLZ,20180703,Photography,1822,256,12,rodrigo_maltchique,São Paulo,Brazil
69597743,EXPRESSIVE WORDS,20180830,Graphic Design,2205,405,26,s-d-g,Paris,France
69763573,Nuances selection,20180904,Street Art,4947,447,25,nevercrew,Lugano,Switzerland
68715597,SADNESS,20180805,Illustration,1353,286,22,MarieMuravski,Moscow,Russian Federation
66382879,CalArts Poster Collection,20180604,Graphic Design,6012,758,22,junki211,Valencia,United States
52161655,CPH:DOX 2017 Posters/Outdoor,20170502,Graphic Design,7079,1210,37,runbob,Copenhagen,Denmark
68882431,Atlas Apothecary — Brand identity & Packaging,20180810,Graphic Design,2270,324,22,clairehartley,London,United Kingdom
69248079,Open City 2017,20180820,Graphic Design,1447,170,8,rudzki,Krakow,Poland
68783347,Take a look,20180807,Photography,915,73,9,mailac67,Hamburg,Germany
69363987,Beanpole Accessory,20180823,Illustration,3114,414,11,donghyun-lim,Seoul,"Korea, Republic of"
65442927,Lazarus,20180510,Sculpting,12379,1018,25,nerioxman,Cambridge,United States
63710817,Nature,20180327,Architecture,6486,984,21,Alexf8,Minsk,Belarus
65334015,Synthetic Apiary,20180508,Interior Design,2552,124,5,nerioxman,Cambridge,United States
69442535,Quadro Jeager,20180825,AR/VR,924,107,4,mikedee,Saqqaq,Greenland
61882117,Első / First,20180211,Photography,3505,439,24,mariettavarga,Budapest,Hungary
63685945,Opium Visual Language,20180328,Branding,22713,2826,78,helloacf5,Vilnius,Lithuania
65258637,Website for Ost-West Hotel,20180506,Art Direction,4454,562,31,yellow182bdcb,Samara,Russian Federation
69766987,Casa Natura,20180903,Art Direction,6047,484,32,sabbathvisuals,Monterrey,Mexico
58007843,THE FOX AND THE GRAPES 3D - ANIMATED SHORT FILM,20171026,Animation,1196,426,5,tamincii,Ho Chi Minh City,Vietnam
68777971,"""Bridge to Terabithia"" 2.0",20180807,Illustration,2378,475,26,thaomint85,Hanoi,Vietnam
64862447,TSB - Thomas Schneider Baumanagement,20180425,Branding,2467,269,18,gletscher,Linz,Austria
69748945,"the HYUNDAI idents play LOVE, SMILE, FAMILY",20180903,Motion Graphics,6372,642,33,cobbtv,Seoul,"Korea, Republic of"
64815049,Kiwi Manuka Brand Booklet,20180425,Editorial Design,11095,943,31,urfd,Brisbane,Australia
68877737,吾滴-冷泡茶,20180809,Packaging,4590,593,50,wmade,Hong Kong,Hong Kong
65541433,GEOMETRIC ABSTRACTION,20180513,Photography,1717,190,8,jultat,Moscow,Russian Federation
68144691,Fast Company — 100 Most Creative People 2018,20180723,Typography,10545,1372,54,Amado,Amsterdam,Netherlands
66687975,ELECTRIC 8,20180723,Interaction Design,4344,461,17,dennisschafer,Munich,Germany
61974765,ILLUSTRATIONS 2016,20180212,Art Direction,1624,275,11,podkoscielny,Gdynia,Poland
63279137,Logos & Marks,20180316,Branding,10955,773,45,queries,Minneapolis,United States
