projectID,name,publishedTime,field,views,appreciations,comments,pic,owner,city,country
66466029,SMITH Brewpub,20180607,Illustration,1356,175,11,https://mir-s3-cdn-cf.behance.net/projects/404/ec61f666466029.Y3JvcCwxMjMwLDk2Myw1MSww.jpg,estudioinplace,La Plata,Argentina
73200637,Abandoned Objects,20181130,Art Direction,2726,232,17,https://mir-s3-cdn-cf.behance.net/projects/404/70191473200637.Y3JvcCwxNTM0LDEyMDAsMTkzLDA.jpg,plasticbionic,Berlin,Germany
63577033,Superstorm Volume One: Seascapes with Atitude,20180323,Photography,4856,445,25,https://mir-s3-cdn-cf.behance.net/projects/404/12e9ef63577033.Y3JvcCw4MTAsNjM0LDAsMA.jpg,davidhixon,Brixham,United Kingdom
72274881,UConn Health Journal,20181107,Illustration,988,110,6,https://mir-s3-cdn-cf.behance.net/projects/404/c66c6172274881.Y3JvcCwzODgzLDMwMzcsMCww.jpg,kaileywhitman,Philadelphia,United States
66824047,Quiet Studio - Digital Branding,20180618,Web Design,11263,739,47,https://mir-s3-cdn-cf.behance.net/projects/404/843e8866824047.Y3JvcCwxMTIxLDg3Niw4Myww.jpg,Marvinx,Los Angeles,United States
71828323,Great White Dance,20181026,Motion Graphics,9900,1514,65,https://mir-s3-cdn-cf.behance.net/projects/404/814bcb71828323.Y3JvcCw4MDgsNjMyLDAsMA.jpg,dobroccs,Moscow,Russian Federation
69331913,Solncetur,20180827,Interaction Design,52074,3757,181,https://mir-s3-cdn-cf.behance.net/projects/404/1fbaee69331913.Y3JvcCw4MDgsNjMyLDAsMA.jpg,laguta,Moscow,Russian Federation
73015761,Libros del Kultrum,20181126,Graphic Design,3056,299,30,https://mir-s3-cdn-cf.behance.net/projects/404/8dcfc573015761.Y3JvcCwxMDAwLDc4MiwxODUsODE.jpg,pfpdisseny,Barcelona,Spain
59130155,OK Mag,20171123,Fashion,1717,377,12,https://mir-s3-cdn-cf.behance.net/projects/404/161b8159130155.Y3JvcCw0MjI5LDMzMTAsNDM4LDA.jpg,guilombardi,São Paulo,Brazil
65665979,"Sorry Youth's 2nd Album ""No dream, no life.""",20180516,Illustration,5608,443,15,https://mir-s3-cdn-cf.behance.net/projects/404/9df7e565665979.Y3JvcCw1MDI3LDM5MzUsMzk3LDA.jpg,godkidlla,Taipei City,Taiwan
70093353,MAM logotype,20181017,Art Direction,1984,198,20,https://mir-s3-cdn-cf.behance.net/projects/404/e0153670093353.Y3JvcCwxMzk3LDEwOTMsMCww.jpg,RhombusDesign,Barcelona,Spain
35016015,Adidas shoot for Solstice Magazine,20160314,Photography,1174,127,3,https://mir-s3-cdn-cf.behance.net/projects/404/f4211535016015.Y3JvcCwxNDk0LDExNjksMTU1LDE2OQ.jpg,annaretoucher,Los Angeles,United States
42654889,Sous le soleil exactement,20160909,Art Direction,1966,256,13,https://mir-s3-cdn-cf.behance.net/projects/404/e8440242654889.Y3JvcCwxMDI1LDgwMiw2MCww.jpg,aline_HD,Paris,France
63946399,Clear Shampoo,20180403,Advertising,11592,987,22,https://mir-s3-cdn-cf.behance.net/projects/404/15589b63946399.Y3JvcCwyNjA5LDIwNDEsMjk3LDA.jpg,AymanAbbas,Cairo,Egypt
72169599,Monthly Novel Illustration,20181104,Illustration,1231,200,9,https://mir-s3-cdn-cf.behance.net/projects/404/7af8f472169599.Y3JvcCwxNjI2LDEyNzEsMCwxNTI.jpg,k-coubou,Tokyo,Japan
57536941,Pixelache Festival,20171008,Branding,9746,998,46,https://mir-s3-cdn-cf.behance.net/projects/404/863aaa57536941.5adde47bde1f2.jpg,karolinakonieczna,Helsinki,Finland
56619711,Paris Black Series,20170911,Photography,3868,656,31,https://mir-s3-cdn-cf.behance.net/projects/404/d9451c56619711.Y3JvcCwxMTE1LDg3Miw0OSwzODg.png,s-d-g,Paris,France
